"code";"POINT_X";"POINT_Y";"name"
502;99640,0252957;438758,258841;"Capelle aan den IJssel"
503;84115,3733778;446427,018655;"Delft"
505;106259,062109;423513,099759;"Dordrecht"
512;126754,885497;427594,313636;"Gorinchem"
513;108596,365503;447819,791387;"Gouda"
518;80227,3055138;453993,170547;"Den Haag"
523;117649,095775;426496,067287;"Hardinxveld-Giessendam"
531;103505,505723;428216,148772;"Hendrik-Ido-Ambacht"
532;144495,990522;523034,303473;"Stede Broec"
534;100075,446286;478556,626077;"Hillegom"
537;89012,7434268;468099,659136;"Katwijk"
542;101116,901839;436761,598114;"Krimpen aan den IJssel"
546;93438,6714038;463720,202099;"Leiden"
547;96324,140239;463970,437033;"Leiderdorp"
553;98351,7451188;474454,171429;"Lisse"
556;76464,8195295;438209,086937;"Maassluis"
569;112020,345321;464892,125527;"Nieuwkoop"
575;92054,7832948;474003,815269;"Noordwijk"
579;92431,0496068;466699,335602;"Oegstgeest"
589;119270,888771;448735,975656;"Oudewater"
590;107300,424757;427282,259616;"Papendrecht"
597;100794,041821;431992,069386;"Ridderkerk"
599;92380,6335386;436825,679288;"Rotterdam"
603;82023,3476305;450617,436504;"Rijswijk (ZH.)"
606;86368,973827;437605,738896;"Schiedam"
610;112675,745963;426271,242424;"Sliedrecht"
613;88837,5407199;430215,590108;"Albrandswaard"
622;83050,5111642;437076,585725;"Vlaardingen"
626;90871,5828416;460552,206655;"Voorschoten"
627;104193,057621;450621,858858;"Waddinxveen"
629;86968,6162689;461728,350577;"Wassenaar"
632;121145,362268;455746,988185;"Woerden"
637;94056,5613718;452650,790104;"Zoetermeer"
638;94998,3035199;460546,743378;"Zoeterwoude"
642;102673,252392;425922,828037;"Zwijndrecht"
654;46303,6160379;386212,44185;"Borsele"
664;50749,689039;391815,900333;"Goes"
668;162873,637423;430594,417173;"West Maas en Waal"
677;61677,2341849;368748,608023;"Hulst"
678;56723,1676043;390179,427184;"Kapelle"
687;32431,2055668;391221,164529;"Middelburg (Z.)"
703;63641,0168838;385839,725553;"Reimerswaal"
715;47593,7335362;368727,114727;"Terneuzen"
716;68788,0376594;397892,171708;"Tholen"
717;26277,6329572;395469,336227;"Veere"
718;29338,6079519;386861,077001;"Vlissingen"
736;122009,607602;470405,577314;"De Ronde Venen"
737;193599,398557;579984,584833;"Tytsjerksteradiel"
743;180474,193892;379315,433274;"Asten"
744;122577,492547;383704,156196;"Baarle-Nassau"
748;78786,5070829;390575,124715;"Bergen op Zoom"
753;155151,154918;390777,297417;"Best"
755;175742,67121;401699,734696;"Boekel"
757;151010,304907;400042,572315;"Boxtel"
758;112535,871326;400218,994544;"Breda"
762;184090,394543;384523,685109;"Deurne"
765;262350,389437;568450,740517;"Pekela"
766;124008,889934;404743,124214;"Dongen"
770;150163,065074;376580,324236;"Eersel"
772;160881,084978;384413,093931;"Eindhoven"
777;103491,14417;398640,308796;"Etten-Leur"
779;119295,806781;412337,136467;"Geertruidenberg"
784;122938,819221;398437,667768;"Gilze en Rijen"
